SEX,AGES,ADMISSION MODE,CGPA - 1,CGPA-2,CLUB / DEPARTMENT,BOARD STUDIED,DAYS SINCE LAST SHOWER,TREATS GIVEN,HAS A S/O ?,ATTENDS LECTURES,CHARACTER,PIZZERIA EXPENDITURE (annual),GRAMS / MONTH,GPL
male,19,BITSAT,7.59,6.0,No club,CBSE,7,4,NO,NO,LITE,12027,1.4,NO
female,23,DASA,5.78,3.0,No club,ICSE,7,1,NO,NO,GHOT,3997,0.25,YES
female,20,BOARD TOPPER,6.19,8.0,No club,CBSE,0,3,YES,NO,GHOT,6276,0.4,YES
male,24,DASA,6.75,6.0,No club,ICSE,15,4,NO,YES,LITE,16190,8.5,NO
male,17,DASA,7.33,7.0,No club,CBSE,4,2,NO,NO,GHOT,4395,0.5,YES
female,19,BOARD TOPPER,3.0,5.0,No club,CBSE,14,4,NO,NO,GHOT,7874,0.2,YES
male,20,BITSAT,3.81,4.0,No club,ICSE,3,3,YES,NO,LITE,18532,10.5,NO
female,18,BOARD TOPPER,7.27,10.0,No club,CBSE,2,4,YES,YES,GHOT,4906,0.5,YES
male,19,BITSAT,6.32,9.0,No club,ICSE,1,1,YES,NO,LITE,12783,7.3,NO
female,21,DASA,6.96,4.0,No club,Other,0,2,YES,NO,GHOT,4481,0.3,YES
male,22,DASA,5.72,6.0,No club,CBSE,1,4,NO,NO,LITE,14057,7.6,NO
male,17,BITSAT,6.64,8.0,Mountaineering,CBSE,11,4,YES,YES,LITE,14007,6.3,NO
male,17,DASA,4.56,5.0,No club,ICSE,3,4,YES,NO,LITE,12261,6.3,NO
male,17,BITSAT,7.9,10.0,No club,ICSE,0,2,NO,YES,GHOT,4018,0.25,YES
female,20,BOARD TOPPER,3.26,6.0,No club,CBSE,1,4,NO,NO,GHOT,6190,0.3,YES
male,19,BITSAT,9.68,6.0,No club,CBSE,14,3,YES,NO,LITE,19108,6.4,NO
female,19,BITSAT,7.99,10.0,Gaming Club,CBSE,0,1,NO,YES,GHOT,3199,0.3,YES
male,20,BITSAT,8.5,3.0,DVM,CBSE,14,4,NO,NO,LITE,17951,10.3,NO
male,21,BOARD TOPPER,5.52,10.0,No club,CBSE,6,0,NO,NO,LITE,14706,8.4,NO
male,19,BOARD TOPPER,3.57,8.0,No club,CBSE,4,2,NO,NO,LITE,19867,8.9,NO
male,20,BITSAT,4.01,10.0,No club,ICSE,5,1,NO,NO,LITE,19145,6.6,NO
male,21,BITSAT,7.71,4.0,No club,CBSE,9,3,NO,NO,GHOT,4595,0.3,YES
male,20,BITSAT,6.51,9.0,No club,CBSE,7,4,NO,NO,LITE,17588,4.5,NO
male,17,BITSAT,7.5,6.0,No club,CBSE,15,2,YES,NO,LITE,12689,6.0,NO
male,17,BITSAT,8.44,8.0,No club,CBSE,8,1,YES,NO,LITE,19357,6.6,NO
male,17,BOARD TOPPER,6.2,6.0,No club,CBSE,0,1,NO,YES,GHOT,1085,0.5,YES
female,20,BITSAT,3.21,8.0,No club,CBSE,3,4,YES,NO,LITE,6284,0.45,YES
male,19,BITSAT,5.24,9.0,No club,CBSE,3,3,NO,NO,LITE,16029,5.8,NO
male,20,BITSAT,6.5,3.0,No club,CBSE,4,0,NO,NO,GHOT,3499,0.25,YES
female,17,BITSAT,5.08,6.0,No club,Other,2,3,NO,NO,LITE,5104,0.2,YES
male,20,DASA,6.79,6.0,No club,CBSE,7,3,NO,NO,LITE,13606,0.9,NO
female,19,BOARD TOPPER,6.18,10.0,No club,CBSE,4,1,NO,NO,GHOT,5668,0.4,YES
female,21,BITSAT,4.23,3.0,Mountaineering,CBSE,4,4,YES,NO,GHOT,7754,0.5,YES
male,19,BITSAT,5.09,5.0,No club,CBSE,0,3,NO,YES,LITE,20982,4.7,NO
male,17,BITSAT,5.4,4.0,No club,CBSE,5,0,NO,NO,LITE,14088,1.4,NO
female,20,DASA,3.87,7.0,Mountaineering,CBSE,5,1,YES,YES,GHOT,3704,0.45,YES
male,20,BITSAT,5.14,9.0,No club,CBSE,6,4,NO,NO,LITE,16535,1.4,NO
male,20,BITSAT,6.55,3.0,No club,CBSE,13,0,YES,NO,LITE,17205,1.6,NO
male,19,BITSAT,6.96,6.0,No club,CBSE,5,2,NO,NO,LITE,19721,10.0,NO
male,22,DASA,6.77,7.0,No club,CBSE,9,1,YES,NO,LITE,14127,6.0,NO
male,20,BITSAT,8.72,10.0,No club,CBSE,6,1,YES,YES,LITE,11513,1.4,NO
male,24,BITSAT,7.41,8.0,No club,CBSE,2,1,NO,NO,LITE,17618,1.4,NO
male,17,BITSAT,3.74,7.0,No club,CBSE,15,0,NO,NO,LITE,15503,2.3,NO
male,25,DASA,6.9,7.0,No club,ICSE,2,1,NO,NO,LITE,17329,2.4,NO
male,20,DASA,5.29,3.0,No club,ICSE,3,2,NO,YES,GHOT,6536,0.5,YES
female,21,BOARD TOPPER,4.81,10.0,No club,CBSE,0,4,YES,YES,GHOT,4362,0.4,YES
male,21,BOARD TOPPER,5.14,8.0,No club,CBSE,7,4,NO,NO,LITE,13071,8.4,NO
female,20,BITSAT,8.32,6.0,No club,CBSE,0,2,NO,NO,LITE,17599,1.8,NO
male,17,BITSAT,6.18,10.0,SUTT,CBSE,2,0,NO,NO,LITE,11033,10.5,NO
male,19,DASA,7.37,3.0,No club,CBSE,4,1,YES,YES,LITE,17950,9.7,NO
male,21,BITSAT,3.0,5.0,No club,CBSE,3,2,NO,NO,LITE,11583,0.6,NO
male,21,BITSAT,6.1,6.0,DVM,CBSE,14,2,YES,NO,LITE,18126,10.9,NO
male,20,BITSAT,8.9,10.0,No club,CBSE,2,2,NO,NO,LITE,14249,3.3,NO
female,19,BITSAT,6.76,3.0,No club,CBSE,2,1,YES,NO,GHOT,5281,0.45,YES
male,17,BITSAT,6.91,8.0,No club,CBSE,5,3,YES,NO,LITE,3401,0.45,YES
male,21,BITSAT,8.59,3.0,No club,CBSE,4,3,NO,NO,GHOT,17678,0.7,NO
female,17,BITSAT,3.0,10.0,No club,Other,3,1,NO,NO,LITE,5738,0.4,YES
male,22,DASA,5.21,9.0,No club,CBSE,5,4,NO,NO,LITE,13413,6.5,NO
female,19,BITSAT,5.23,6.0,No club,ICSE,9,2,YES,NO,LITE,16076,8.9,NO
male,19,BITSAT,6.62,9.0,No club,CBSE,7,2,YES,NO,LITE,12744,10.0,NO
female,19,BITSAT,7.95,7.0,No club,CBSE,2,3,NO,NO,LITE,18089,1.0,NO
female,19,BITSAT,5.66,4.0,No club,ICSE,2,0,NO,NO,LITE,18314,5.7,NO
male,19,BITSAT,8.64,4.0,No club,CBSE,1,0,YES,NO,LITE,10963,10.0,NO
male,25,BITSAT,7.94,3.0,No club,Other,4,2,NO,NO,LITE,11454,10.9,NO
male,20,BOARD TOPPER,6.18,9.0,No club,CBSE,3,1,NO,NO,LITE,13569,9.6,NO
male,20,DASA,9.57,7.0,No club,ICSE,3,4,NO,YES,GHOT,12179,5.9,NO
female,17,BITSAT,4.75,10.0,Gaming Club,CBSE,5,0,YES,YES,LITE,18491,1.7,NO
male,19,BOARD TOPPER,4.69,8.0,DVM,CBSE,12,0,YES,NO,LITE,10468,8.3,NO
male,17,BITSAT,5.44,8.0,No club,CBSE,7,2,YES,NO,LITE,20825,5.4,NO
male,21,BOARD TOPPER,6.71,5.0,No club,ICSE,13,1,NO,NO,LITE,15490,8.8,NO
female,21,BOARD TOPPER,5.16,10.0,No club,CBSE,11,2,NO,NO,GHOT,2337,0.15,YES
male,23,DASA,4.03,7.0,No club,CBSE,7,4,NO,YES,LITE,19227,4.0,NO
male,18,BITSAT,4.28,10.0,No club,ICSE,0,0,YES,NO,GHOT,1879,0.5,YES
male,17,BITSAT,3.0,10.0,No club,Other,0,3,YES,NO,LITE,16572,2.7,NO
male,20,BITSAT,7.33,4.0,No club,CBSE,6,3,NO,NO,GHOT,7128,0.35,YES
female,17,BITSAT,9.47,7.0,No club,ICSE,3,4,NO,YES,LITE,6593,0.25,YES
male,22,BITSAT,5.28,6.0,No club,CBSE,5,4,NO,NO,LITE,18708,6.5,NO
male,21,BITSAT,6.91,3.0,No club,ICSE,1,3,YES,NO,LITE,16683,1.9,NO
male,19,BITSAT,6.83,3.0,No club,CBSE,5,0,NO,NO,GHOT,17434,10.0,NO
female,22,BITSAT,4.51,3.0,No club,CBSE,0,2,NO,NO,GHOT,13444,8.8,NO
female,20,BOARD TOPPER,5.44,6.0,No club,CBSE,5,0,NO,NO,GHOT,3173,0.3,YES
male,20,BOARD TOPPER,7.89,6.0,No club,CBSE,3,4,NO,NO,GHOT,17512,10.4,NO
male,20,BOARD TOPPER,6.45,5.0,No club,ICSE,7,1,YES,NO,LITE,13329,8.0,NO
female,19,DASA,5.03,6.0,No club,CBSE,0,2,NO,YES,GHOT,6023,0.25,YES
male,21,DASA,7.21,7.0,No club,CBSE,3,3,NO,NO,LITE,12496,2.0,NO
male,19,BITSAT,7.02,4.0,No club,CBSE,7,3,NO,NO,LITE,21328,8.5,NO
male,20,DASA,6.24,9.0,No club,ICSE,2,4,NO,NO,LITE,19800,6.3,NO
female,17,BITSAT,3.26,5.0,No club,ICSE,8,2,YES,YES,LITE,14677,10.0,NO
female,19,BITSAT,6.17,3.0,No club,CBSE,8,1,NO,NO,GHOT,4685,0.5,YES
female,20,BITSAT,6.16,8.0,No club,CBSE,14,4,NO,NO,GHOT,8603,0.5,YES
male,19,BITSAT,6.35,7.0,No club,Other,2,3,NO,NO,LITE,12343,6.8,NO
male,19,BOARD TOPPER,8.37,5.0,No club,CBSE,7,2,NO,NO,LITE,13406,2.8,NO
male,19,BOARD TOPPER,3.0,3.0,No club,CBSE,5,1,YES,YES,GHOT,19302,2.5,NO
male,20,BITSAT,6.04,5.0,No club,CBSE,5,0,YES,NO,GHOT,3021,0.3,YES
female,18,BITSAT,6.44,5.0,DVM,CBSE,13,3,NO,YES,LITE,21373,0.4,NO
male,21,BOARD TOPPER,8.05,6.0,No club,CBSE,2,1,NO,YES,LITE,17760,4.5,NO
male,23,BOARD TOPPER,3.42,3.0,No club,CBSE,3,1,NO,NO,GHOT,11889,4.4,NO
female,19,DASA,5.55,5.0,No club,CBSE,5,0,YES,NO,LITE,2915,0.5,YES
male,23,BITSAT,6.07,3.0,No club,CBSE,2,4,NO,NO,LITE,13441,6.6,NO
male,22,BITSAT,3.25,10.0,No club,CBSE,1,4,NO,YES,LITE,21019,10.3,NO
male,17,BITSAT,9.61,10.0,No club,CBSE,7,1,NO,NO,LITE,11553,0.6,NO
male,23,DASA,5.5,4.0,No club,ICSE,7,2,NO,YES,LITE,14303,6.9,NO
female,19,BITSAT,4.58,7.0,No club,Other,0,4,YES,NO,GHOT,4114,0.3,YES
male,20,BITSAT,5.32,7.0,No club,CBSE,7,4,NO,NO,LITE,17211,9.6,NO
male,17,BITSAT,3.53,6.0,No club,CBSE,2,2,NO,NO,LITE,13324,9.4,NO
male,17,BITSAT,7.98,4.0,SUTT,CBSE,2,2,YES,YES,LITE,19619,5.3,NO
male,22,BITSAT,4.7,6.0,No club,CBSE,1,4,NO,YES,GHOT,13823,9.6,NO
female,22,BOARD TOPPER,8.83,10.0,No club,CBSE,9,2,NO,NO,LITE,5495,0.5,YES
male,20,BITSAT,9.63,7.0,No club,CBSE,0,4,YES,NO,LITE,15739,4.6,NO
male,19,BITSAT,8.63,8.0,No club,CBSE,5,1,YES,NO,LITE,15708,9.9,NO
male,17,BITSAT,4.96,8.0,Gaming Club,CBSE,7,3,NO,YES,LITE,12187,4.3,NO
male,18,BITSAT,6.88,6.0,No club,CBSE,4,1,YES,YES,GHOT,4420,0.3,YES
female,17,DASA,8.54,4.0,No club,CBSE,2,4,NO,YES,GHOT,6435,0.5,YES
female,22,BITSAT,7.01,5.0,No club,CBSE,1,4,NO,YES,LITE,13965,6.5,NO
male,17,DASA,5.21,8.0,No club,CBSE,2,1,NO,NO,LITE,12812,6.4,NO
male,20,BITSAT,10.0,7.0,No club,CBSE,3,0,YES,NO,LITE,19147,1.9,NO
male,24,DASA,3.43,7.0,No club,CBSE,15,1,NO,NO,LITE,12262,5.9,NO
male,17,BITSAT,8.68,7.0,Gaming Club,Other,0,0,YES,YES,LITE,12785,8.6,NO
female,17,BITSAT,4.57,6.0,No club,CBSE,2,4,YES,YES,GHOT,5369,0.45,YES
male,19,BITSAT,5.79,3.0,No club,CBSE,7,3,YES,NO,GHOT,12345,3.3,NO
male,23,DASA,5.44,7.0,No club,ICSE,14,1,YES,NO,GHOT,16828,9.4,NO
male,19,BITSAT,5.44,6.0,No club,CBSE,1,2,NO,YES,LITE,15487,3.8,NO
male,17,BITSAT,6.0,10.0,Mountaineering,CBSE,7,4,NO,YES,LITE,21682,1.4,NO
female,23,DASA,10.0,9.0,No club,ICSE,3,0,YES,NO,LITE,18793,7.3,NO
male,20,BOARD TOPPER,6.49,4.0,No club,CBSE,9,2,YES,NO,LITE,15833,5.4,NO
male,21,BITSAT,5.28,8.0,No club,CBSE,2,0,NO,NO,LITE,15960,5.4,NO
male,17,BOARD TOPPER,4.72,5.0,No club,ICSE,2,0,NO,NO,LITE,18842,3.8,NO
male,18,BITSAT,7.96,6.0,Gaming Club,CBSE,2,0,NO,YES,LITE,11358,1.0,NO
male,17,BOARD TOPPER,7.62,4.0,DVM,CBSE,11,1,NO,YES,GHOT,2736,0.5,YES
female,17,BITSAT,6.8,4.0,No club,CBSE,0,3,YES,YES,GHOT,6419,0.15,YES
male,17,DASA,7.06,9.0,No club,CBSE,13,4,NO,NO,LITE,17729,4.7,NO
female,17,BITSAT,9.13,4.0,No club,Other,3,1,YES,NO,LITE,4545,0.5,YES
male,22,DASA,9.34,3.0,No club,CBSE,5,3,YES,NO,GHOT,5938,0.25,YES
male,22,BITSAT,3.98,4.0,No club,Other,15,4,YES,YES,GHOT,13139,2.6,NO
male,21,BITSAT,5.95,6.0,No club,CBSE,4,2,NO,NO,LITE,19679,10.6,NO
female,21,BOARD TOPPER,4.21,4.0,No club,CBSE,3,3,YES,NO,GHOT,5602,0.15,YES
male,19,BOARD TOPPER,8.65,8.0,No club,CBSE,5,3,NO,NO,GHOT,20139,9.5,NO
female,19,BITSAT,7.24,6.0,No club,CBSE,2,1,NO,NO,GHOT,1260,0.15,YES
male,17,BOARD TOPPER,7.36,5.0,No club,CBSE,5,4,NO,YES,LITE,6463,0.4,YES
female,22,DASA,8.23,10.0,SUTT,ICSE,3,3,YES,NO,GHOT,5057,0.3,YES
female,24,DASA,5.26,6.0,No club,ICSE,14,3,YES,NO,GHOT,6781,0.35,YES
male,17,BITSAT,5.1,8.0,No club,Other,4,4,NO,NO,LITE,16129,1.9,NO
male,22,BITSAT,8.67,10.0,No club,CBSE,7,0,YES,YES,LITE,12237,8.0,NO
female,17,BITSAT,5.75,6.0,No club,Other,5,0,NO,NO,LITE,4501,0.5,YES
female,20,BOARD TOPPER,7.56,6.0,No club,CBSE,7,4,YES,NO,GHOT,13397,2.9,NO
male,20,BITSAT,10.0,8.0,No club,CBSE,4,2,NO,NO,LITE,19476,4.8,NO
male,21,BITSAT,5.25,6.0,No club,CBSE,5,1,NO,NO,GHOT,13085,4.9,NO
male,22,BITSAT,5.37,5.0,No club,ICSE,4,4,YES,NO,LITE,19567,6.5,NO
male,19,BITSAT,10.0,7.0,No club,CBSE,0,0,NO,NO,GHOT,3466,0.3,YES
female,17,BITSAT,3.56,5.0,No club,CBSE,0,4,YES,YES,LITE,17997,9.6,NO
male,21,BITSAT,7.35,9.0,No club,CBSE,3,2,NO,NO,GHOT,12406,9.0,NO
male,20,BITSAT,4.25,4.0,No club,ICSE,13,2,NO,NO,GHOT,5357,0.15,YES
female,19,BITSAT,6.29,9.0,No club,Other,0,3,YES,NO,GHOT,7234,0.25,YES
male,20,BITSAT,8.34,8.0,No club,CBSE,1,4,NO,NO,LITE,15074,3.4,NO
female,21,BOARD TOPPER,9.64,8.0,No club,CBSE,5,1,NO,NO,LITE,5966,0.15,YES
male,19,BITSAT,6.16,8.0,No club,CBSE,14,4,YES,NO,GHOT,13652,1.7,NO
male,20,BOARD TOPPER,9.29,7.0,No club,CBSE,2,2,NO,NO,LITE,11821,8.6,NO
male,17,BITSAT,7.39,3.0,No club,Other,2,1,YES,NO,LITE,13814,9.3,NO
female,20,DASA,5.47,9.0,No club,ICSE,2,2,NO,NO,LITE,5564,0.35,YES
female,20,BITSAT,5.2,6.0,No club,CBSE,7,4,YES,NO,GHOT,6019,0.4,YES
male,22,BOARD TOPPER,8.63,9.0,No club,CBSE,7,4,NO,NO,LITE,20142,6.6,NO
female,21,DASA,5.36,10.0,No club,ICSE,4,3,NO,NO,GHOT,7507,0.4,YES
male,20,BOARD TOPPER,8.24,7.0,No club,CBSE,13,4,YES,NO,LITE,18271,1.7,NO
male,19,BITSAT,7.59,7.0,No club,CBSE,6,0,YES,NO,GHOT,129,0.5,YES
male,20,BOARD TOPPER,5.15,4.0,No club,CBSE,2,4,NO,NO,LITE,21901,10.3,NO
male,23,BITSAT,5.0,8.0,No club,CBSE,0,1,NO,NO,LITE,15438,0.6,NO
male,17,BITSAT,7.33,9.0,No club,CBSE,3,0,NO,NO,LITE,10979,4.8,NO
male,21,DASA,7.65,8.0,No club,CBSE,2,0,NO,NO,GHOT,2177,0.45,YES
male,19,BITSAT,5.75,10.0,No club,CBSE,2,4,YES,NO,LITE,17703,8.5,NO
male,19,BOARD TOPPER,5.7,10.0,No club,CBSE,5,3,YES,NO,GHOT,6654,0.4,YES
male,19,BITSAT,9.14,9.0,SUTT,CBSE,5,4,YES,NO,LITE,20305,9.4,NO
male,19,BOARD TOPPER,5.78,5.0,No club,CBSE,1,2,NO,NO,GHOT,14181,2.9,NO
female,17,BITSAT,5.66,9.0,Mountaineering,CBSE,1,2,NO,YES,LITE,17311,1.9,NO
female,21,DASA,8.27,7.0,No club,CBSE,4,4,YES,NO,GHOT,7486,0.2,YES
male,20,BITSAT,6.78,4.0,No club,CBSE,0,3,NO,NO,LITE,20957,7.9,NO
male,24,BOARD TOPPER,3.59,7.0,No club,CBSE,2,1,NO,NO,GHOT,18590,4.7,NO
female,18,BITSAT,8.94,9.0,Gaming Club,CBSE,4,4,YES,YES,GHOT,5951,0.35,YES
male,20,BOARD TOPPER,7.13,8.0,No club,CBSE,7,4,YES,NO,LITE,20626,5.5,NO
female,17,BITSAT,9.15,8.0,No club,CBSE,0,1,YES,NO,LITE,14172,8.3,NO
male,22,BOARD TOPPER,6.82,7.0,No club,CBSE,7,1,YES,NO,GHOT,12030,7.8,NO
female,18,BOARD TOPPER,7.52,5.0,No club,CBSE,4,2,YES,YES,LITE,4058,0.2,YES
male,19,BOARD TOPPER,6.1,10.0,No club,CBSE,7,4,YES,NO,LITE,12134,2.3,NO
male,21,BOARD TOPPER,6.88,3.0,No club,CBSE,2,0,NO,NO,GHOT,19499,9.9,NO
female,17,BITSAT,8.94,6.0,No club,ICSE,4,1,YES,NO,LITE,14147,4.7,NO
female,17,BITSAT,7.31,3.0,No club,Other,4,1,NO,NO,GHOT,1866,0.2,YES
male,20,BOARD TOPPER,7.34,6.0,No club,CBSE,0,4,NO,NO,LITE,19877,0.5,NO
male,19,BITSAT,6.23,6.0,No club,CBSE,8,2,YES,NO,LITE,19321,0.8,NO
male,20,BITSAT,7.5,3.0,No club,ICSE,7,0,NO,NO,LITE,11577,8.8,NO
male,22,DASA,6.99,9.0,DVM,Other,10,4,NO,NO,LITE,21477,0.7,NO
female,20,BITSAT,7.46,4.0,No club,CBSE,1,4,YES,NO,LITE,21815,5.3,NO
female,20,BOARD TOPPER,5.91,8.0,No club,CBSE,1,2,YES,YES,LITE,3067,0.5,YES
male,21,DASA,5.68,9.0,No club,CBSE,6,3,YES,YES,LITE,3335,0.35,YES
male,23,BOARD TOPPER,3.0,4.0,No club,CBSE,2,3,NO,NO,LITE,20104,9.9,NO
male,17,BITSAT,5.28,10.0,No club,CBSE,6,3,YES,NO,GHOT,19359,2.5,NO
female,20,BITSAT,7.67,3.0,No club,CBSE,2,1,YES,YES,LITE,11815,10.5,NO
male,24,DASA,8.96,8.0,No club,CBSE,5,0,NO,NO,LITE,12631,7.4,NO
male,20,BITSAT,4.7,10.0,No club,CBSE,3,2,YES,NO,GHOT,11694,0.3,NO
female,22,BITSAT,6.48,9.0,No club,CBSE,3,1,YES,YES,LITE,15622,0.4,NO
female,20,BITSAT,6.96,10.0,No club,ICSE,0,2,YES,YES,LITE,6169,0.25,YES
female,20,DASA,4.27,4.0,No club,CBSE,3,4,NO,NO,GHOT,5191,0.3,YES
female,21,DASA,3.54,6.0,No club,ICSE,7,3,YES,NO,GHOT,3807,0.25,YES
female,23,BOARD TOPPER,7.08,10.0,No club,CBSE,7,4,NO,YES,GHOT,4186,0.5,YES
male,17,BITSAT,5.35,4.0,No club,Other,9,4,NO,NO,LITE,13930,1.3,NO
male,17,BITSAT,4.08,7.0,Gaming Club,CBSE,7,0,NO,YES,LITE,4325,0.3,YES
male,23,DASA,8.0,8.0,No club,CBSE,9,4,YES,YES,GHOT,16040,10.3,NO
male,22,DASA,5.46,9.0,No club,CBSE,3,1,NO,NO,LITE,17447,9.5,NO
female,17,BITSAT,6.98,6.0,No club,Other,5,2,NO,NO,GHOT,14334,1.4,NO
male,21,BOARD TOPPER,5.81,6.0,No club,CBSE,6,0,NO,NO,LITE,15716,6.5,NO
male,19,BITSAT,7.27,4.0,Gaming Club,CBSE,2,2,NO,YES,LITE,10000000,6.6,NO
male,20,BITSAT,3.83,6.0,No club,CBSE,0,1,NO,NO,GHOT,5477,0.4,YES
female,24,DASA,7.65,10.0,No club,CBSE,2,3,YES,YES,GHOT,4350,0.15,YES
female,21,DASA,6.27,9.0,No club,CBSE,14,3,YES,NO,GHOT,3790,0.5,YES
male,17,DASA,7.14,10.0,No club,CBSE,6,3,YES,NO,LITE,20499,7.6,NO
male,20,BITSAT,4.26,8.0,No club,CBSE,6,3,NO,NO,LITE,3874,0.15,YES
female,22,BOARD TOPPER,8.49,8.0,No club,CBSE,4,4,YES,YES,GHOT,4416,0.2,YES
male,21,DASA,7.64,4.0,No club,ICSE,7,4,NO,YES,LITE,12861,10.4,NO
female,17,BITSAT,5.45,6.0,No club,Other,15,2,NO,NO,GHOT,4682,0.4,YES
female,24,DASA,8.42,9.0,No club,CBSE,0,3,NO,NO,GHOT,7107,0.15,YES
female,22,BITSAT,4.82,9.0,No club,CBSE,0,4,YES,NO,GHOT,15997,7.9,NO
male,17,BOARD TOPPER,7.31,6.0,No club,CBSE,12,1,YES,NO,LITE,11123,5.8,NO
male,18,BITSAT,8.6,3.0,Gaming Club,Other,5,2,YES,YES,GHOT,20591,8.9,NO
